IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ERYKA,KOBIETA,2826
KUNEGUNDA,KOBIETA,2783
OLIMPIA,KOBIETA,2759
ADELAJDA,KOBIETA,2684
SŁAWOMIRA,KOBIETA,2619
ZYTA,KOBIETA,2583
MARIE,KOBIETA,2527
LEONARDA,KOBIETA,2511
ARLETA,KOBIETA,2500
MARIKA,KOBIETA,2462
IRMINA,KOBIETA,2454
KALINA,KOBIETA,2364
TATIANA,KOBIETA,2333
NATASZA,KOBIETA,2328
DONATA,KOBIETA,2299
EDWARDA,KOBIETA,2272
LONGINA,KOBIETA,2215
GIZELA,KOBIETA,2204
KLEMENTYNA,KOBIETA,2193
INGA,KOBIETA,2181
MARCELA,KOBIETA,2069
AMANDA,KOBIETA,2019
ELFRYDA,KOBIETA,1935
EMMA,KOBIETA,1879
LUCJA,KOBIETA,1877
ELIZABETH,KOBIETA,1855
IDA,KOBIETA,1763
MARYLA,KOBIETA,1756
PETRONELA,KOBIETA,1743
MARCJANNA,KOBIETA,1738
BERTA,KOBIETA,1723
MARZENNA,KOBIETA,1698
OLIVIA,KOBIETA,1659
NICOLE,KOBIETA,1655
SEWERYNA,KOBIETA,1609
ADA,KOBIETA,1547
OKTAWIA,KOBIETA,1487
BOGNA,KOBIETA,1485
ALEXANDRA,KOBIETA,1460
JESSICA,KOBIETA,1443
VANESSA,KOBIETA,1436
LILIA,KOBIETA,1427
AUGUSTYNA,KOBIETA,1421
KRZYSZTOFA,KOBIETA,1404
FILOMENA,KOBIETA,1346
LILLA,KOBIETA,1341
KAMILLA,KOBIETA,1341
MIA,KOBIETA,1328
AMALIA,KOBIETA,1316
LIWIA,KOBIETA,1309
NICOLA,KOBIETA,1272
LILA,KOBIETA,1215
ROMA,KOBIETA,1187
ANETTA,KOBIETA,1155
ELENA,KOBIETA,1119
BENEDYKTA,KOBIETA,1112
SAMANTA,KOBIETA,1109
SOPHIE,KOBIETA,1107
SOFIA,KOBIETA,1079
ERNA,KOBIETA,1070
BIANKA,KOBIETA,1069
NADZIEJA,KOBIETA,1050
ROSE,KOBIETA,1043
MIRELA,KOBIETA,1040
KSENIA,KOBIETA,1040
BERNARDYNA,KOBIETA,994
EVA,KOBIETA,988
IZA,KOBIETA,976
EULALIA,KOBIETA,967
RUTA,KOBIETA,928
NELA,KOBIETA,921
ANGELINA,KOBIETA,918
LEONTYNA,KOBIETA,914
DOMICELA,KOBIETA,906
ANN,KOBIETA,879
VIKTORIA,KOBIETA,878
STELLA,KOBIETA,863
DOBROSŁAWA,KOBIETA,849
MIRIAM,KOBIETA,835
EMA,KOBIETA,828
CELESTYNA,KOBIETA,823
INEZ,KOBIETA,819
ELISABETH,KOBIETA,817
WINCENTYNA,KOBIETA,814
GABRYELA,KOBIETA,807
NOEMI,KOBIETA,804
MANUELA,KOBIETA,803
PAMELA,KOBIETA,792
ANGELA,KOBIETA,788
LEA,KOBIETA,768
GERDA,KOBIETA,756
WIRGINIA,KOBIETA,755
AUGUSTA,KOBIETA,746
PRAKSEDA,KOBIETA,745
GAJA,KOBIETA,728
LIGIA,KOBIETA,723
SOPHIA,KOBIETA,721
GRETA,KOBIETA,719
EMANUELA,KOBIETA,718
MICHELLE,KOBIETA,713
WALESKA,KOBIETA,711
JAROSŁAWA,KOBIETA,692
ANDREA,KOBIETA,685
SŁAWA,KOBIETA,680
BLANDYNA,KOBIETA,677
SYLWESTRA,KOBIETA,670
KSAWERA,KOBIETA,663
LEONIA,KOBIETA,661
GLORIA,KOBIETA,656
BERENIKA,KOBIETA,651
WANESSA,KOBIETA,649
ANNE,KOBIETA,642
EUFEMIA,KOBIETA,636
HELGA,KOBIETA,618
ANTONIA,KOBIETA,608
WILHELMINA,KOBIETA,606
INES,KOBIETA,604
OLA,KOBIETA,601
GRACE,KOBIETA,592
MALINA,KOBIETA,589
ERIKA,KOBIETA,570
MIRELLA,KOBIETA,566
KORNELA,KOBIETA,554
NARCYZA,KOBIETA,545
ISABELLA,KOBIETA,541
IRMA,KOBIETA,530
LOUISE,KOBIETA,518
MARY,KOBIETA,515
BERNARDETA,KOBIETA,515
LARYSA,KOBIETA,513
PATRICIA,KOBIETA,512
MAYA,KOBIETA,511
VERONICA,KOBIETA,511
JANE,KOBIETA,506
SCHOLASTYKA,KOBIETA,505
KLAUDYNA,KOBIETA,501
HIACYNTA,KOBIETA,499
CLAUDIA,KOBIETA,498
BOGDANA,KOBIETA,496
SARAH,KOBIETA,481
MIRA,KOBIETA,475
JAŚMINA,KOBIETA,468
ERNESTYNA,KOBIETA,461
EDELTRAUDA,KOBIETA,458
GRACJANA,KOBIETA,456
